id_inventario;nombre_articulo;tipo_modelo;color;marca;medida;existencia;entrada;salida
309;balbula esfera 1 1/4 pulg.;p.b.c rascable hidraulico;No aplica;blaco;unidad;2;0;0
310;balbula esfera  1 pulg.;p.b.c pegado hidraulica;No aplica;blanco;unidad;1;0;1
311;balbula espera 2 pulg.;p.b.c pegado hidraulica;No aplica;blanco;unidad;1;0;1
312;T        1/2 pulgada ;p.b.c hidraulico;No aplica;blanco;unidad;70;0;1
313;codo 45 grado 1/2 pulg.;p.b.c hidraulico;No aplica;gris;unidad;60;0;0
314;T         3/4 pulg.;p.b.c hidraulico;No aplica;blanco;unidad;30;0;2
315;Y         3/4  PULG.;p.b.c hidraulico;No aplica;blanco;unidad;6;0;0
316;Y        1/2  pulg.                           ;p.b.c hidraulico;No aplica;blanco;unidad;3;0;0
317;tuerca union  3/4 pulg.;p. b. c  hidraulico;No aplica;blaco;unidad;4;0;1
318;Tuerca union  1/2 PULG.;p.b.c  hidraulico;No aplica;Blanco;unidad;1;0;1
319;tuerca union  1 pulg.;p.b.c  hidraulico;No aplica;blanco;unidad;8;0;0
320;conector rosca ext.3/4 pulg;p.b.c hidraulico;No aplica;blanco;unidad;14;10;1
321;conector rosca int.3/4 PULG;p.b.c  hidraulico;No aplica;blanco;unidad;14;0;2
322;codo 90 grado 1/2 PULG.;p.b.c  hidraulico;No aplica;blanbo;unidad;4;10;4
323;codo 45 grado 3/4 pulg.;p.b.c  hidraulico;No aplica;blnco;unidad;2;0;0
324;conecto rosca ext. 1 pulg.;p.b.c hidraulico;No aplica;blanco;unidad;3;0;0
325;codo 90 grado 3/4 Pulg.;p.b.c hidraulico;No aplica;blanco;unidad;10;10;2
326;codo 90 grado 1 pulg.;p.b.c  hidraulico;No aplica;blanco;unidad;7;0;0
327;Codo 45 grado 1 pulg.;p.b.c  hidraulico;No aplica;blanco;unidad;30;0;0
328;codo 45grado  1 1/2 Pulg.;p.b.c sanitario;No aplica;blanco   ;unidad;35;0;0
329;ceple liso   2  pulg.;p.b.c  sanitario;No aplica;blanco;unidad;22;0;2
330;cople liso 1 1/2  pulg.;p.b.c sanitario;No aplica;blnco;unidad;20;0;0
331;cople termofuncion 110;tipo 3 PN -25;No aplica;VERDE;unidad;2;0;0
332;Cople termofuncion 25;tipo 3 pn-20;No aplica;verde;unidad;2;0;0
333;cople termofuncion 63;tipo 3 pn-20;No aplica;VERDE;unidad;2;0;0
334;codo 90 grado termo. 32;tipo 3 pn-20;No aplica;verde;unidad;80;0;0
335;conector 32x3/4 termof.;TIPO 3 pn-25;No aplica;verde  ;unidad;24;0;0
336;conector 32x1 termof;tipo 3 pn-25;No aplica;verde;unidad;3;0;0
337;conector 25x3/4 R/ termof;tipo 3 pn-20;No aplica;verde;unidad;30;0;0
338;codo termf. 90 grado 25;tipo 3 pp-r;No aplica;verde;unidad;65;0;0
339;codo trmf. 45 grado 32;tipo 3 pp-r;No aplica;verde;unidad;1;0;0
340;conector rec./termof. 40x25;tipo 3 pp-r;No aplica;verde  ;unidad;1;0;0
341;cople/rec. Termf. 32x25;tipo 3 pp-r;No aplica;verde;unidad;1;0;0
342;cople/rec. Termf. 63x50;tipo pp n;No aplica;verde;unidad;3;0;0
343;cople  40 term. ;tipo 3 pp-r;No aplica;verde;unidad;2;0;0
344;T term. 32x25x25 ;tipo 3 pp-r;No aplica;verde;unidad;2;0;0
345;T TERM.  32;TIPO 3-pp-r;No aplica;verde;unidad;1;0;0
346;codo term 90 grado  40;tipo 3  pp-r;No aplica;verde;unidad;7;0;0
347;T   TERM. 63 ;tipo 3  pp-r;No aplica;verde;unidad;5;0;0
348;codo term. 90 grado 63;tipo 3  pp-r;No aplica;verde;unidad;3;0;0
349;codo term. 90 grado 50;tipo 3  pp-r;No aplica;verde;unidad;7;0;0
350;codo term. 45grado 50;tipo 3  pp-r;No aplica;verde;unidad;7;0;0
351;codo term. 45 grado 40;tipo  3  pp-r;No aplica;verde;unidad;14;0;0
352;cople/R term. 75x50;tipo 3  pp-r;No aplica;verde;unidad;2;0;0
353;T term 40/25;TIPO 3 PP-R;No aplica;verde;unidad;1;0;0
354;conector term. 50x1 1/2 M;tipo 3 pp-r pn 25;No aplica;verde;unidad;8;0;0
355;conector term.40x1 1/2 ;TIPO 3 PP-R PN-25;No aplica;VERDE;unidad;16;0;0
356;curva elec. I pulg. ;p.v.c ;No aplica;verde;unidad;12;0;0
357;curva elec. De 3/4 PULG.;P.V.C ;No aplica;verde;unidad;45;0;0
358;curva elec. De 2pulg.;p.v.c ;No aplica;verde;unidad;4;0;0
359;conector elec.  3/4 ;p.v.c ;No aplica;verde;unidad;50;0;0
360;cople ext. Elec. 1/2 PULG.;p.v.c ;No aplica;verde;unidad;30;0;0
361;cople elec.   1 pulg.;p.v.c ;No aplica;verde;unidad;6;0;0
362;conector elec 1/2 PULG.;p.v.c ;No aplica;verde;unidad;20;0;0
363;conector elec.  1/2 pulg.;galbanizado;No aplica;galbanisado;unidad;7;0;0
364;motor p/camara frias;m. D1127  mcmillan;H.P 1/12 v 115 ;amp. 10.6 1550 r;unidad;3;0;2
365;motor p/camara frias;m 483-4r;H.P1/40 V127;amp. 1.0 550prm;unidad;2;0;0
366;motor p/camara frias;m.ja2p189n Smith;h.p1/20 V 115;1550 r.pm;unidad;3;0;0
367;termostato clima salones;tb7980a1006 honywell;24 vac;No aplica;unidad;3;0;0
368;bisagra de cantina ;look;No aplica;laton;unidad;7;0;0
369;Resbalon atornillave;base para mesa;No aplica;negro;unidad;46;32;0
370;Resbalon ;fijo clavo;No aplica;blanco;unidad;102;0;0
371;resbalon roscable 3/8 ;base para mesa;No aplica;NEGRO;unidad;43;23;0
372;Clavo 1 1/2 PULG.;No aplica;No aplica;No aplica;kgs;1;0;0
373;clavo alfilirillo 1 pulg.;No aplica;No aplica;No aplica;kgs;1;0;0
374;clavo  1 pulg;No aplica;No aplica;No aplica;kgs;5;0;0
375;resbalon  para puerta;M203-8;No aplica;galvanizado;unidad;13;0;0
376;carradura de embutir;MLC-GR;No aplica;Plateada loook;unidad;2;0;2
377;bisagra al piso val-ven;M1500  phillips;philips;Asero inixidable;unidad;1;0;1
378;cerradura p/recamara;M CXC- 1178 de pomo;cerfon;No aplica;unidad;1;6;3
379;cerradura p/ Baño HAB.  ;de pomo;phillips;Inoxidable  ;unidad;1;0;0
380;|cerradura p/perfil;m. 549-as;phillips;aluminio;unidad;1;2;3
381;corradura telescopica;50  cemtimetro;No aplica;handy home;pares;16;0;0
382;corradura telescopica;3.5 x 50 centimetro;43288;hermex;pares;5;0;0
383;corradura telescopica;3.5 x 40 centimetro;33349;handy home;pares;5;0;0
384;corradura telescopica;4.0 x 30 centrimetro;No aplica;handy home;pares;32;0;0
385;corredera telescopica;3.5 x 25 centrimetro;No aplica;handy home;pares;3;0;0
386;pijas de 2 1/2x8;para madera;negras ;No aplica;unidad;100;0;0
387;pijas de 3x8;para madera;negras ;No aplica;unidad;100;0;100
388;pijaC/cabeza exagonal;1 x1/4 ;blancas;No aplica;unidad;200;0;100
389;pija c/Cabeza plana de 1/2;auto laladrante;No aplica;No aplica;unidad;50;0;25
390;Pija c/cabeza exagonal ;taladrante 1/4 X 3/4;No aplica;blanca;unidad;230;0;0
391;Alcayatas ;No aplica;No aplica;galvanizada;unidad;20;0;0
392;tornillo de mariposa 3/16;No aplica;No aplica;galbanizada;unidad;9;0;0
393;Basagra bidimensional;m.14356     planas;blancas;hermex;pares;10;0;0
394;bisagra bidimensional;curva;blancas;bruken ase boy;unidad;8;0;0
395;jaladera turbular 16 cm;m.43870 estilo cilindro;nikel sat;hermex;unidad;20;0;0
396;jaladerade asero 128 cm;m.43829 ;laton brillante;hermex;unidad;16;0;0
397;jaladera b/Hueca ;m. 44701148;asero inxidable;ceraje;unidad;10;0;0
398;jaladera p/mueble 9.6cm;jal-0311-43828;niquel satinado;hermex;unidad;5;0;0
399;cerrejo adicional 510 m ns;cod.89202;niqul satinado;yale;unidad;2;0;0
400;carretilla aeria p/ puerta;dn 80 pl -   2 hojas;negras;ducasse industrial;unidad;2;0;0
401;jaladera de placa 30x10;No aplica;inoxidable;No aplica;unidad;5;0;1
402;cerradura p/perfil p/HAB.;M 435;aluminio;phillips;unidad;4;0;0
403;filtro p/Diesel (caldera);P550-105;No aplica;donaldson;unidad;4;0;0
404;Empaque estrella #2;Bonba de condezado;ule;No aplica;unidad;5;0;0
405;Enpaque estrella #1;Bonba de diesel;ule;No aplica;unidad;3;0;0
406;EXT. Cola de cochino 1/4;para manometro;metal ;No aplica;unidad;3;0;0
407;pintura aluminio a/Temp.;No aplica;esmalte;aluminio comex;litros;4;0;0
408;tinta en alcohol ;TS-6629.30;chocolate;chocolate sayer;litros;1;0;0
409;tinta en alcohol ;TS6615.30;nogal clasico;nogal clasico sayer;litros;1;0;1
410;catalizador  poliuretano;Uc-0042.30;fondo rapido;sayer;litros;1;6;2
411;diluyente ;D-0500;para laka cristal;sayer;litros;1;20;13
412;barniz poliuretano;UM-1030.30;simi mate;sayer;litros;5;5;7
413;barniz poliuretano;UF0042.30;fondo rapido;sayer;litros;3;0;3
414;pintura;laca industrial ;negro ;No aplica;litros;1;0;1
415;pimtura;laca industrial ;blanco;No aplica;litros;1;0;1
416;gasolina;No aplica;blancas;comex;litros;4;0;0
417;pintura esmalte;alto brillo;rojo oxido;comex;litros;4;0;2
418;resistol 850;No aplica;blanco;resistol;unidad;2;0;1
419;Aerosol ;esprit;amarillo;truper;4 d/400ML;4;0;0
420;Aerosol ;esprit;amarillo;comex;7 d/400ML;7;0;0
421;Aerosol ;esprit;blanco;comex;2 d/400ML;2;0;0
422;Toallero de barra (HAB);truper;cromado;No aplica;unidad;2;0;0
423;lija  para metal;truper;hoja;FANDALI;unidad;10;50;52
424;lija rollo;para esmeril m80;rojo oxido;No aplica;metros;10;0;7
425;sinta antirapante ;cla-118n;negro;truper;metros;1;5;0
426;manguera flexible 1/2-7/8;35cm lango;aluminio;flexilum;unidad;5;5;0
427;manguera flexible1/2-1/2;40cm largo;aluminio;foset;unidad;15;0;0
428;manguera flexible 1/2-7/8;55cm largo;aluminio;foset;unidad;12;0;0
429;mangura flexible 1/2-3/8;55cm largo;aluminio;flexilum;unidad;7;0;0
430;perfacinta   2pulg;tabla roca;hueso;hidraulico;rollo;9;0;3
431;cinta  2pulg.;masqui;hueso;truper;rollo;4;0;1
432;cinta   masqui 1 pulg.;masqui;hueso;truper;rollo;6;0;4
433;cinta gris 2pulg.;3M ;gris;3m;rollo;3;4;6
434;cinta de aluminio;TUK;Aluminio;TUK;unidad;9;0;9
435;silicon no mas clavo;tubo de 353g.;blanco;resistol;unidad;10;10;7
436;silicon blanco claro;tubo353g.;blanco;truper;unidad;1;0;1
437;silicon  traparente;tubo 280 ml;tranparente;pepe;unidad;3;0;2
438;silicon blanco  ;tubo 300 ml;blanco;tubosista;unidad;5;17;7
439;silicon tranlucido s/ONGO;tubo 280ml;tranparente ;keys;unidad;10;10;6
440;maneral p/Rodillo ;9mm x1 1/2;metal;truper;unidad;8;0;3
441;minimaneral ;4x12 Ap7103;metal;byp;litros;2;0;2
442;pintura venilica;6036;igualada;sherwin willeams;cubeta;3;6;7
443;pintura venilica;6038;igualada;sherwin willeams;cubeta;3;0;1
444;pintura venilica;tepache;igualada;sherwin willeams;cubeta;1;2;2
445;pintura venilica;blanco;hidraulico;sherwin willeams;unidad;3;2;4
446;pintura venilica;1312;hidraulico;sherwin willeams;unidad;1;1;2
447;pintura venilica;6001;hidraulico;sherwin willeams;unidad;1;3;3
448;pintura venilica;6084;hidraulico;sherwin willeams;unidad;3;4;6
449;pintura venilica;pasill comedor 7660;hidraulico;sherwin willeams;unidad;1;0;1
450;pintura esmalte;solucion a agua;gris;sherwin willeams;unidad;1;1;1
451;pintura epoxico A;Epoxico A-B;gris perla;sherwin willeams;unidad;1;1;0
452;pintura esmalte;hidraulico;amarrillo trafico;sherwin willeams;unidad;1;0;1
453;redimix;panel rey;pasta;panelrey;cubeta t-roca;1;7;5
454;tapa p/W.C 18p 45mm;AWC-45A cod.49906;hueso;foset;unidad;10;0;6
455;resistol p/ALFONBRA;3085;15 lst;Roberts;cubeta;4;0;0
456;tobo cobre en rollo;5/8  flexible;hidraulico;hidraulico;rollo;1;0;0
457;tubo cobre en rollo;3/8 Fexible;hidraulico;hidraulico;rollo;1;0;0
458;tubo cobre en rollo;1/4 FLEXIBLE;hidraulico;hidraulico;metros;5;0;0
459;tubo de cobre;1/2 PULG.;hidraulico;hidraulico;tramos;4;0;20
460;tubo de cabre  3/4;hidraulico;C;hidraulico;tramo;1;0;0
461;tubo de cobre;1 pulg.;hidraulico;hidraulico;tramo;1;0;0
462;Tubo de p.b.c;;negro;hidraulico;unidad;7;0;0
463;tubo p.b.c ;c40 3/4 ;BLANCO;hidraulico;tramo;10;0;0
464;tubo p.b.c ;C  40  1/2;Blaco;hidraulico;tramo;1;0;4
465;tubo p.b.c sanitario;4 pulg.;blanco;sanitario;tramo;1;0;0
466;tubo p.b.c ;2 1/4 PULG;blanco;sanitario;tramo;1;0;0
467;tubo p.b.c ;2 pulg.;blaco;sanitrio;tramo;2;0;1
468;tubo p.b.c;1 1/2;Blanco;sanitario;tramo;5;0;0
469;tubo p.b.c ;1 1/4 PULG.;blanco;sanitario;tramo;5;0;0
470;postes p/tabla roca;1 1/2 X2;Galbanisado;No aplica;unidad;8;0;7
471;postes p/tabla roca;1 x3;Galbanisado;No aplica;unidad;10;0;6
472;piso ceramica cocina;20x20;No aplica;No aplica;caja;9;0;8
473;cemento ;150  K;gris;No aplica;sacos (25kg);2;10;7
474;tabla roca ;120 x240;No aplica;No aplica;placas;11;5;6
475;brochas;4 pulg.;dorado;No aplica;unidad;6;6;7
476;brochas;2 pulg.;dorado;No aplica;unidad;4;10;5
477;brocha camelus;4 pulg.;byp;No aplica;unidad;4;4;2
478;brocha camelus;2 pulg.;byp;No aplica;unidad;2;6;7
